defect_id,production_order_id,machine_id,defect_type,defect_quantity,inspection_date,inspector_id,corrective_action
DEF000001,PO0004357,MCH027,None,21,2024-01-11,INS04,Pending
DEF000002,PO0002796,MCH005,Assembly Fault,17,2024-07-09,INS02,Accept
DEF000003,PO0003709,MCH022,Surface Scratch,35,2024-12-10,INS01,Pending
DEF000004,PO0003616,MCH013,None,36,2022-03-03,INS02,Scrap
DEF000005,PO0000105,MCH029,Assembly Fault,18,2023-07-29,INS03,Scrap
DEF000006,PO0001346,MCH038,Assembly Fault,40,2024-10-03,INS06,Scrap
DEF000007,PO0001931,MCH020,Assembly Fault,44,2024-12-31,INS01,Accept
DEF000008,PO0003075,MCH020,Assembly Fault,49,2022-06-06,INS10,Scrap
DEF000009,PO0003418,MCH023,Surface Scratch,11,2023-09-03,INS01,Rework
DEF000010,PO0000344,MCH034,Surface Scratch,30,2024-05-09,INS08,
DEF000011,PO0004629,MCH001,Surface Scratch,43,2024-06-22,INS06,Rework
DEF000012,PO0000694,MCH039,Dimensional Error,32,2024-12-04,INS09,Rework
DEF000013,PO0002934,MCH011,Dimensional Error,3,2024-11-29,INS09,Scrap
DEF000014,PO0003023,MCH050,Color Mismatch,43,2024-10-24,INS09,Scrap
DEF000015,PO0002182,MCH019,Surface Scratch,18,2024-09-13,INS08,Pending
DEF000016,PO0004225,MCH029,Assembly Fault,19,2023-11-06,INS05,Rework
DEF000017,PO0000362,MCH004,Dimensional Error,36,2024-11-12,INS04,Rework
DEF000018,PO0003229,MCH038,None,41,2024-04-23,INS10,
DEF000019,PO0002599,MCH044,Surface Scratch,13,2024-02-08,INS04,Accept
DEF000020,PO0003332,MCH020,Surface Scratch,3,2024-09-30,INS07,Accept
DEF000021,PO0003304,MCH016,Dimensional Error,48,2023-10-06,INS03,Accept
DEF000022,PO0003545,MCH040,Dimensional Error,18,2021-05-15,INS04,
DEF000023,PO0004509,MCH022,None,36,2023-10-08,INS07,Accept
DEF000024,PO0000487,MCH042,Assembly Fault,35,2024-03-21,INS08,Pending
DEF000025,PO0003951,MCH030,Assembly Fault,50,2024-07-16,INS06,Rework
DEF000026,PO0004566,MCH034,Surface Scratch,8,2024-10-03,INS01,
DEF000027,PO0000069,MCH019,Surface Scratch,50,2024-07-01,INS02,Pending
DEF000028,PO0002140,MCH045,Assembly Fault,2,2024-10-29,INS10,
DEF000029,PO0002064,MCH019,None,38,2024-10-02,INS08,Scrap
DEF000030,PO0002793,MCH005,Assembly Fault,18,2022-06-17,INS01,Accept
DEF000031,PO0000521,MCH030,None,20,2024-12-21,INS08,Pending
DEF000032,PO0000938,MCH049,Assembly Fault,20,2022-08-16,INS06,
DEF000033,PO0003586,MCH027,Surface Scratch,47,2024-05-10,INS03,Pending
DEF000034,PO0003151,MCH009,Assembly Fault,23,2022-07-17,INS08,Scrap
DEF000035,PO0000074,MCH030,Surface Scratch,2,2022-08-05,INS05,
DEF000036,PO0004837,MCH009,None,11,2024-06-20,INS04,Accept
DEF000037,PO0000550,MCH030,Assembly Fault,38,2023-08-13,INS05,Accept
DEF000038,PO0003789,MCH027,None,17,2021-09-02,INS02,Accept
DEF000039,PO0002248,MCH008,Color Mismatch,32,2023-10-28,INS09,Accept
DEF000040,PO0000489,MCH028,None,36,2024-02-11,INS07,Accept
