production_order_id,product_id,machine_id,plant_location,shift,planned_quantity,actual_quantity,start_date,end_date,status,operator_id,production_cost
PO0000001,PROD00257,MCH033,Plant B - Curitiba,Night,3127,1453,2022-10-05,2023-01-10,Completed,EMP022,24247.25
PO0000002,PROD00625,MCH022,Plant B - Curitiba,Afternoon,4427,881,2021-08-09,2024-06-14,Completed,EMP020,18718.39
PO0000003,PROD00061,MCH042,Plant B - Curitiba,Night,3632,3607,2024-08-19,2024-10-12,Completed,EMP013,33160.16
PO0000004,PROD00765,MCH006,Plant D - Recife,Night,2155,882,2024-08-26,2024-12-02,Completed,EMP046,12031.24
PO0000005,PROD00811,MCH025,Plant B - Curitiba,Afternoon,705,1202,2021-05-01,2024-07-06,In Progress,EMP048,24790.74
PO0000006,PROD00711,MCH042,Plant C - Manaus,Night,3651,4561,2021-11-05,2023-02-04,Cancelled,EMP049,37192.0
PO0000007,PROD00400,MCH030,Plant B - Curitiba,Night,4172,4264,2021-03-22,2024-11-14,In Progress,EMP021,27740.96
PO0000008,PROD00899,MCH038,Plant B - Curitiba,Night,3941,2655,2023-03-22,2024-12-22,Cancelled,EMP036,44348.59
PO0000009,PROD00995,MCH005,Plant D - Recife,Night,2895,1596,2022-09-12,2024-04-21,Completed,EMP006,49629.36
PO0000010,PROD00703,MCH035,Plant D - Recife,Morning,2003,3848,2024-01-13,2024-08-20,Completed,EMP025,39734.7
PO0000011,PROD00319,MCH046,Plant D - Recife,Morning,944,4619,2023-04-09,2024-05-20,Completed,EMP049,29494.62
PO0000012,PROD00755,MCH033,Plant B - Curitiba,Afternoon,2216,1496,2021-06-13,2021-08-18,Completed,EMP046,30366.05
PO0000013,PROD00738,MCH045,Plant C - Manaus,Morning,1008,634,2022-02-25,2022-08-25,In Progress,EMP043,48235.1
PO0000014,PROD00887,MCH046,Plant A - Sao Paulo,Afternoon,2976,770,2022-03-27,2024-06-18,Completed,EMP006,10818.92
PO0000015,PROD00283,MCH024,Plant A - Sao Paulo,Morning,2396,1314,2022-10-12,2024-07-08,Completed,EMP006,24443.96
PO0000016,PROD00256,MCH046,Plant A - Sao Paulo,Afternoon,2681,98,2023-03-19,2023-11-12,Completed,EMP011,7890.72
PO0000017,PROD00284,MCH030,Plant C - Manaus,Afternoon,467,1153,2024-08-01,2024-08-11,Completed,EMP022,34218.31
PO0000018,PROD00980,MCH001,Plant C - Manaus,Morning,4609,4908,2023-08-25,2023-11-18,Completed,EMP023,32824.42
PO0000019,PROD00254,MCH018,Plant B - Curitiba,Morning,877,2736,2023-11-08,2024-08-30,Completed,EMP027,16858.83
PO0000020,PROD00556,MCH017,Plant B - Curitiba,Afternoon,1358,1243,2024-01-23,2024-08-12,Completed,EMP039,19112.12
PO0000021,PROD00929,MCH038,Plant A - Sao Paulo,Night,2612,183,2024-08-25,2024-10-02,In Progress,EMP003,48210.47
PO0000022,PROD00818,MCH030,Plant B - Curitiba,Afternoon,438,2369,2024-08-17,2024-09-19,In Progress,EMP037,5757.74
PO0000023,PROD00219,MCH002,Plant A - Sao Paulo,Night,4122,4429,2022-03-20,2023-10-11,Completed,EMP039,8333.93
PO0000024,PROD00932,MCH032,Plant A - Sao Paulo,Afternoon,3915,4093,2021-11-04,2022-03-03,In Progress,EMP042,25708.09
PO0000025,PROD00795,MCH032,Plant D - Recife,Night,4698,3324,2022-11-02,2023-06-09,Completed,EMP043,2147.29
PO0000026,PROD00102,MCH028,Plant D - Recife,Morning,1018,2357,2024-11-12,2024-12-23,Completed,EMP010,48749.25
PO0000027,PROD00405,MCH007,Plant B - Curitiba,Afternoon,131,1839,2023-05-15,2024-01-16,In Progress,EMP046,34811.17
PO0000028,PROD00503,MCH021,Plant C - Manaus,Night,1436,3503,2023-06-09,2024-01-29,Cancelled,EMP023,4870.33
PO0000029,PROD00383,MCH013,Plant B - Curitiba,Afternoon,3992,2917,2021-12-23,2023-08-03,Completed,EMP036,33349.82
PO0000030,PROD00573,MCH045,Plant A - Sao Paulo,Afternoon,3712,4608,2024-06-08,2024-08-19,Cancelled,EMP036,33532.47
PO0000031,PROD00252,MCH022,Plant B - Curitiba,Night,1634,4387,2022-04-12,2023-10-28,Completed,EMP005,35714.78
PO0000032,PROD00720,MCH007,Plant D - Recife,Afternoon,4518,3972,2022-04-17,2023-08-15,In Progress,EMP038,42823.08
PO0000033,PROD00629,MCH024,Plant C - Manaus,Night,3927,3005,2022-03-21,2023-06-11,In Progress,EMP018,4760.13
PO0000034,PROD00265,MCH042,Plant A - Sao Paulo,Morning,1941,3671,2022-12-24,2023-10-29,Completed,EMP040,47614.64
PO0000035,PROD00063,MCH011,Plant D - Recife,Afternoon,3872,2962,2021-09-28,2024-06-27,Completed,EMP017,30930.86
PO0000036,PROD00025,MCH041,Plant D - Recife,Afternoon,1747,3355,2024-11-11,2024-11-14,Completed,EMP017,22604.69
PO0000037,PROD00183,MCH047,Plant D - Recife,Afternoon,625,657,2021-04-19,2024-02-11,Completed,EMP008,21911.83
PO0000038,PROD00041,MCH005,Plant B - Curitiba,Night,2868,3996,2022-10-06,2024-08-12,Completed,EMP041,22997.79
PO0000039,PROD00191,MCH049,Plant B - Curitiba,Night,3526,3979,2024-05-01,2024-05-26,Completed,EMP015,43351.44
PO0000040,PROD00392,MCH015,Plant A - Sao Paulo,Morning,297,3409,2023-04-29,2024-08-16,Completed,EMP039,5958.17
PO0000041,PROD00412,MCH046,Plant C - Manaus,Morning,4061,4649,2021-10-28,2023-04-10,Completed,EMP024,4290.23
PO0000042,PROD00751,MCH019,Plant B - Curitiba,Night,366,4211,2023-03-03,2024-06-29,Completed,EMP039,30517.26
PO0000043,PROD00740,MCH029,Plant D - Recife,Morning,2116,4994,2022-12-09,2024-07-20,In Progress,EMP016,30915.09
PO0000044,PROD00800,MCH032,Plant C - Manaus,Night,410,1820,2022-02-04,2024-03-19,Completed,EMP019,18987.83
PO0000045,PROD00964,MCH029,Plant D - Recife,Night,3658,1144,2021-10-02,2024-09-10,Completed,EMP005,11315.78
PO0000046,PROD00511,MCH041,Plant C - Manaus,Night,4290,3485,2023-10-03,2024-01-30,Completed,EMP028,10097.57
PO0000047,PROD00248,MCH017,Plant A - Sao Paulo,Morning,1769,3061,2023-03-29,2023-07-23,Completed,EMP015,19593.33
PO0000048,PROD00344,MCH050,Plant A - Sao Paulo,Morning,3475,1480,2024-09-08,2024-09-09,Completed,EMP039,5715.58
PO0000049,PROD00524,MCH034,Plant D - Recife,Night,2485,2127,2023-08-26,2023-11-08,Completed,EMP017,39864.85
PO0000050,PROD00384,MCH046,Plant A - Sao Paulo,Night,2429,1581,2021-04-21,2024-01-11,In Progress,EMP039,16662.59
PO0000051,PROD00775,MCH047,Plant A - Sao Paulo,Afternoon,4063,300,2024-09-12,2024-10-01,Completed,EMP018,42483.85
PO0000052,PROD00955,MCH016,Plant B - Curitiba,Afternoon,2748,4584,2021-05-24,2021-11-28,Completed,EMP049,35319.75
PO0000053,PROD00852,MCH030,Plant A - Sao Paulo,Night,3261,1178,2023-07-25,2023-10-14,In Progress,EMP038,20329.11
PO0000054,PROD00709,MCH020,Plant B - Curitiba,Afternoon,3196,474,2023-09-16,2024-09-10,Cancelled,EMP030,7261.59
PO0000055,PROD00745,MCH047,Plant A - Sao Paulo,Afternoon,4029,1049,2024-01-16,2024-03-10,Completed,EMP030,42805.77
PO0000056,PROD00743,MCH014,Plant B - Curitiba,Night,3808,1479,2021-06-18,2023-07-12,In Progress,EMP013,18812.57
PO0000057,PROD00977,MCH046,Plant A - Sao Paulo,Night,2603,3627,2023-12-31,2024-03-19,Completed,EMP007,48350.54
PO0000058,PROD00627,MCH043,Plant C - Manaus,Afternoon,4656,2913,2022-09-12,2024-05-07,Completed,EMP019,47119.42
PO0000059,PROD00263,MCH031,Plant C - Manaus,Night,1652,3630,2024-07-25,2024-10-28,Completed,EMP011,26581.64
PO0000060,PROD00020,MCH013,Plant D - Recife,Morning,3776,898,2023-04-01,2024-06-18,Completed,EMP049,41080.39
PO0000061,PROD00005,MCH022,Plant D - Recife,Afternoon,234,3275,2021-02-26,2022-06-13,Completed,EMP018,12621.33
PO0000062,PROD00535,MCH032,Plant D - Recife,Afternoon,4717,3310,2021-08-31,2023-12-04,Completed,EMP039,45667.54
PO0000063,PROD00882,MCH022,Plant D - Recife,Morning,227,793,2022-11-07,2024-07-21,In Progress,EMP025,46496.72
PO0000064,PROD00077,MCH045,Plant B - Curitiba,Afternoon,2400,876,2021-04-29,2024-03-31,Completed,EMP037,3831.0
PO0000065,PROD00366,MCH014,Plant D - Recife,Afternoon,4094,1358,2021-05-30,2024-01-24,Completed,EMP038,39033.58
PO0000066,PROD00141,MCH026,Plant C - Manaus,Morning,949,1632,2024-06-22,2024-07-30,Completed,EMP010,32043.16
PO0000067,PROD00937,MCH018,Plant D - Recife,Night,3221,490,2024-06-17,2024-09-07,Completed,EMP032,14221.69
PO0000068,PROD00239,MCH030,Plant B - Curitiba,Morning,3509,2741,2024-05-25,2024-09-23,Completed,EMP039,15980.5
PO0000069,PROD00108,MCH019,Plant A - Sao Paulo,Night,922,1569,2023-09-07,2024-07-01,Cancelled,EMP029,45513.97
PO0000070,PROD00468,MCH003,Plant A - Sao Paulo,Night,4079,3060,2021-06-29,2024-08-11,In Progress,EMP036,11429.62
PO0000071,PROD00218,MCH027,Plant D - Recife,Night,3827,1267,2023-07-28,2024-12-19,Completed,EMP025,20298.46
PO0000072,PROD00032,MCH034,Plant C - Manaus,Afternoon,3070,782,2022-10-19,2023-09-12,Completed,EMP011,28787.77
PO0000073,PROD00799,MCH020,Plant D - Recife,Afternoon,2458,3261,2023-02-18,2024-04-13,Completed,EMP029,8987.63
PO0000074,PROD00495,MCH030,Plant A - Sao Paulo,Afternoon,3290,3614,2022-03-17,2022-08-05,Cancelled,EMP039,6477.46
PO0000075,PROD00683,MCH040,Plant B - Curitiba,Night,4015,3324,2023-04-15,2023-06-05,Completed,EMP019,30269.27
PO0000076,PROD00716,MCH034,Plant C - Manaus,Night,2522,1117,2024-08-11,2024-08-29,Completed,EMP026,48093.07
PO0000077,PROD00544,MCH025,Plant D - Recife,Afternoon,1405,4851,2022-09-07,2023-05-10,Completed,EMP027,22187.41
PO0000078,PROD00040,MCH044,Plant B - Curitiba,Morning,4409,793,2023-03-21,2023-11-08,Completed,EMP016,18522.59
PO0000079,PROD00524,MCH006,Plant C - Manaus,Morning,3558,1031,2024-01-27,2024-03-21,Completed,EMP029,27529.97
PO0000080,PROD00735,MCH039,Plant B - Curitiba,Night,4546,2487,2024-06-04,2024-11-15,Completed,EMP030,43991.95
PO0000081,PROD00464,MCH003,Plant B - Curitiba,Night,486,528,2022-07-19,2024-07-25,Completed,EMP046,40838.92
PO0000082,PROD00965,MCH034,Plant B - Curitiba,Night,1230,2117,2022-06-10,2022-07-30,Completed,EMP014,20187.47
PO0000083,PROD00722,MCH010,Plant C - Manaus,Afternoon,3233,2445,2023-06-13,2023-10-09,Cancelled,EMP050,8900.47
PO0000084,PROD00858,MCH010,Plant A - Sao Paulo,Afternoon,678,2298,2022-07-28,2022-11-16,Completed,EMP016,15067.38
PO0000085,PROD00773,MCH007,Plant C - Manaus,Night,3032,1795,2022-09-28,2024-05-31,Completed,EMP023,48745.96
PO0000086,PROD00458,MCH013,Plant B - Curitiba,Night,3080,3207,2022-07-30,2024-01-02,Completed,EMP027,28555.0
PO0000087,PROD00530,MCH002,Plant D - Recife,Morning,477,3886,2021-12-25,2022-07-07,Completed,EMP005,47486.54
PO0000088,PROD00522,MCH043,Plant C - Manaus,Afternoon,4154,4623,2023-08-04,2024-09-07,In Progress,EMP012,8128.67
PO0000089,PROD00898,MCH026,Plant A - Sao Paulo,Night,2266,3103,2021-12-14,2024-07-09,Cancelled,EMP034,40037.93
PO0000090,PROD00960,MCH038,Plant B - Curitiba,Night,4825,4340,2022-10-24,2024-11-09,Completed,EMP020,27197.59
PO0000091,PROD00700,MCH020,Plant C - Manaus,Afternoon,2703,2200,2022-05-11,2023-08-28,In Progress,EMP022,30713.79
PO0000092,PROD00197,MCH049,Plant A - Sao Paulo,Night,1401,3867,2022-04-26,2023-12-16,Completed,EMP047,48905.9
PO0000093,PROD00876,MCH006,Plant A - Sao Paulo,Afternoon,2135,3452,2024-03-25,2024-05-13,Completed,EMP050,7823.52
PO0000094,PROD00779,MCH031,Plant A - Sao Paulo,Afternoon,2484,3277,2021-03-08,2021-11-18,Completed,EMP035,42328.71
PO0000095,PROD00915,MCH048,Plant D - Recife,Morning,477,925,2021-04-16,2024-03-29,Completed,EMP010,44297.1
PO0000096,PROD00644,MCH014,Plant A - Sao Paulo,Morning,4883,1677,2024-02-06,2024-05-19,Completed,EMP010,24808.65
PO0000097,PROD00447,MCH003,Plant D - Recife,Morning,4810,3148,2021-06-11,2024-06-19,In Progress,EMP044,49526.59
