order_id,product_id,unit_price,quantity,discount
10001,22,50.69,7,0.15
10001,22,50.69,29,0
10001,4,102.11,28,0.1
10002,16,53.06,4,0
10003,20,110.63,19,0.15
10003,3,23.37,23,0.15
10003,8,121.87,28,0.15
10003,21,37.41,14,0.2
10004,4,102.11,12,0.05
10004,11,9.48,1,0.2
10004,2,46.31,14,0
10005,13,137.34,12,0.05
10005,4,102.11,15,0
10005,17,46.73,22,0
10005,23,89.13,22,0.15
10006,28,82.66,26,0.15
10006,18,29.58,16,0.05
10006,27,108.23,4,0.2
10006,27,108.23,26,0
10006,5,138.59,4,0
10007,24,33.59,26,0.2
10007,8,121.87,5,0.15
10007,25,126.69,15,0
10007,21,37.41,5,0.05
10007,9,15.53,22,0.05
10008,1,68.16,28,0
10009,14,50.34,17,0.05
10009,21,37.41,23,0.05
10010,26,71.88,18,0.2
10011,6,126.81,16,0
10011,29,88.3,30,0.05
10011,4,102.11,29,0.1
10012,12,36.32,6,0.05
10012,22,50.69,16,0.1
10013,7,100.8,30,0
10013,20,110.63,30,0.15
10013,5,138.59,7,0.05
10013,10,122.41,9,0
10013,28,82.66,11,0.15
10014,3,23.37,11,0.1
10014,13,137.34,28,0.15
10015,11,9.48,5,0.05
10015,4,102.11,19,0
10016,16,53.06,4,0.2
10016,12,36.32,28,0.1
10017,4,102.11,15,0
10018,13,137.34,21,0.2
10018,18,29.58,20,0
10018,21,37.41,7,0
10018,12,36.32,8,0.05
10018,1,68.16,2,0.2
10019,6,126.81,9,0.05
10019,11,9.48,26,0.05
10019,18,29.58,21,0
10019,16,53.06,22,0
10019,7,100.8,10,0
10020,22,50.69,18,0
10020,2,46.31,2,0
10021,14,50.34,6,0
10021,16,53.06,29,0
10021,29,88.3,15,0.2
10022,25,126.69,16,0.05
10022,19,126.75,7,0
10022,1,68.16,13,0.1
10023,22,50.69,21,0
10023,9,15.53,1,0
10023,22,50.69,15,0
10024,1,68.16,23,0
10024,16,53.06,1,0
10024,15,45.97,2,0
10024,15,45.97,22,0.15
10024,15,45.97,14,0
10025,12,36.32,24,0
10025,2,46.31,10,0.1
10025,29,88.3,2,0
10026,16,53.06,24,0
10026,25,126.69,10,0.15
10026,28,82.66,16,0.05
10027,10,122.41,19,0.2
10027,22,50.69,25,0.05
10027,16,53.06,22,0.1
10028,12,36.32,28,0
10028,2,46.31,26,0.2
10029,23,89.13,16,0.05
10029,9,15.53,18,0.2
10029,23,89.13,21,0.1
10029,22,50.69,4,0.15
10029,20,110.63,6,0
10030,14,50.34,15,0
10030,5,138.59,30,0.15
10030,6,126.81,1,0
10030,15,45.97,6,0.15
10031,27,108.23,19,0.2
10031,3,23.37,15,0.05
10031,14,50.34,1,0.1
10031,10,122.41,1,0
10031,7,100.8,4,0
10032,19,126.75,20,0
10032,10,122.41,30,0
10032,6,126.81,30,0.05
10033,13,137.34,4,0.2
10033,8,121.87,19,0
10033,20,110.63,28,0
10033,2,46.31,22,0.1
10034,28,82.66,26,0.05
10035,29,88.3,22,0.1
10035,19,126.75,12,0
10036,11,9.48,28,0
10036,16,53.06,25,0.15
10037,27,108.23,13,0.15
