order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_country,freight
10001,NW0005,7,2021-05-18,2022-11-18,2022-09-03,Canada,11.98
10002,NW0003,2,2022-05-16,2021-06-27,2022-02-10,Mexico,114.24
10003,NW0010,1,2023-01-25,2023-02-03,2021-05-11,Canada,150.77
10004,NW0004,8,2021-11-18,2024-07-19,2024-10-24,UK,166.29
10005,NW0007,9,2023-07-27,2024-06-04,2024-12-27,Canada,134.81
10006,NW0004,1,2024-02-13,2023-10-10,2023-03-21,France,75.43
10007,NW0009,8,2023-12-30,2024-02-17,2022-09-18,Canada,192.76
10008,NW0003,4,2022-11-20,2024-08-20,2023-04-15,France,58.87
10009,NW0004,7,2023-01-10,2022-12-04,2023-05-31,Mexico,106.13
10010,NW0002,6,2023-08-15,2023-02-05,2024-05-11,Germany,96.39
10011,NW0009,8,2023-07-22,2024-06-13,2021-09-16,Spain,192.64
10012,NW0008,5,2022-04-07,2022-03-25,2021-12-18,France,152.93
10013,NW0006,1,2023-06-14,2023-11-26,2024-03-23,Spain,98.24
10014,NW0001,4,2022-12-23,2021-09-28,2024-03-10,Germany,175.46
10015,NW0003,7,2021-07-14,2021-11-12,2022-07-05,Germany,155.5
10016,NW0006,5,2022-10-19,2024-04-27,2024-02-02,UK,88.75
10017,NW0005,6,2023-08-31,2021-04-27,2024-02-03,France,64.8
10018,NW0010,3,2023-08-01,2024-11-11,2023-09-06,Sweden,14.86
10019,NW0010,5,2022-08-10,2024-11-29,2023-12-28,Spain,192.11
10020,NW0008,8,2021-10-05,2022-05-11,2022-04-27,Sweden,52.49
10021,NW0008,3,2022-08-27,2022-04-18,2021-09-17,Germany,137.32
10022,NW0003,7,2022-11-10,2022-04-06,2022-08-31,Sweden,97.32
10023,NW0003,5,2022-05-11,2022-01-31,2023-11-24,Sweden,91.01
10024,NW0008,3,2023-03-10,2021-10-05,2023-11-10,France,166.68
10025,NW0002,1,2024-10-23,2024-02-22,2023-07-07,France,89.46
10026,NW0010,7,2023-08-13,2021-11-27,2021-12-05,UK,106.3
10027,NW0001,6,2022-04-14,2021-05-03,2023-01-10,Germany,110.08
10028,NW0008,8,2023-11-14,2023-07-08,2024-12-18,Germany,81.67
10029,NW0005,7,2024-01-04,2024-11-13,2024-02-04,France,109.23
10030,NW0005,4,2022-09-26,2022-02-17,2024-04-03,Canada,187.7
10031,NW0003,4,2021-07-16,2024-09-08,2022-03-27,Sweden,179.03
10032,NW0005,7,2021-04-03,2023-10-31,2023-04-24,Sweden,169.09
10033,NW0010,1,2024-06-06,2022-11-15,2024-01-27,Mexico,89.53
10034,NW0008,7,2022-08-21,2023-05-20,2023-09-17,Mexico,13.41
