order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD0000001,1,PROD00327,SELL0434,2022-01-27,509.25,24.9
ORD0000001,2,PROD00928,SELL0356,2022-01-27,99.49,9.79
ORD0000001,3,PROD00049,SELL0064,2022-01-27,377.43,22.35
ORD0000001,4,PROD00946,SELL0434,2022-01-27,154.01,32.55
ORD0000002,1,PROD00425,SELL0039,2023-02-07,281.66,6.65
ORD0000002,2,PROD00635,SELL0263,2023-02-07,733.52,34.6
ORD0000003,1,PROD00617,SELL0446,2024-08-28,75.53,15.32
ORD0000003,2,PROD00902,SELL0104,2024-08-28,245.63,10.49
ORD0000003,3,PROD00061,SELL0125,2024-08-28,161.17,33.77
ORD0000003,4,PROD00216,SELL0394,2024-08-28,463.55,9.98
ORD0000004,1,PROD00318,SELL0370,2022-11-23,112.49,9.19
ORD0000004,2,PROD00371,SELL0499,2022-11-23,470.2,9.35
ORD0000004,3,PROD00370,SELL0377,2022-11-23,594.17,26.46
ORD0000004,4,PROD00774,SELL0290,2022-11-23,606.9,47.23
ORD0000005,1,PROD00854,SELL0346,2023-06-27,360.56,49.04
ORD0000005,2,PROD00670,SELL0307,2023-06-27,279.88,42.24
ORD0000005,3,PROD00890,SELL0227,2023-06-27,489.42,49.28
ORD0000005,4,PROD00061,SELL0200,2023-06-27,712.0,32.81
ORD0000006,1,PROD00686,SELL0280,2024-08-06,115.5,28.49
ORD0000006,2,PROD00505,SELL0416,2024-08-06,606.28,43.07
ORD0000006,3,PROD00191,SELL0314,2024-08-06,399.27,14.79
ORD0000006,4,PROD00095,SELL0349,2024-08-06,268.69,28.18
ORD0000007,1,PROD00336,SELL0026,2022-05-19,435.63,40.95
ORD0000007,2,PROD00286,SELL0341,2022-05-19,155.33,43.78
ORD0000008,1,PROD00997,SELL0082,2024-06-08,84.84,29.58
ORD0000009,1,PROD00551,SELL0269,2021-06-25,600.75,12.58
ORD0000009,2,PROD00097,SELL0133,2021-06-25,286.3,44.62
ORD0000010,1,PROD00045,SELL0331,2022-02-20,532.16,46.46
ORD0000010,2,PROD00290,SELL0468,2022-02-20,206.19,12.99
