order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD0000001,1,debit_card,1,979.53
ORD0000002,1,boleto,12,93.01
ORD0000003,1,voucher,7,128.16
ORD0000004,1,debit_card,3,956.06
ORD0000005,1,debit_card,1,1215.57
ORD0000006,1,credit_card,10,1585.92
ORD0000007,1,boleto,11,278.59
ORD0000008,1,boleto,8,1159.7
ORD0000009,1,boleto,12,1734.42
ORD0000010,1,voucher,1,71.83
ORD0000011,1,credit_card,4,1000.61
ORD0000012,1,credit_card,4,1775.68
ORD0000013,1,debit_card,10,876.04
ORD0000014,1,credit_card,2,1050.55
ORD0000015,1,credit_card,7,1392.55
ORD0000016,1,voucher,7,98.46
ORD0000017,1,boleto,4,1986.06
ORD0000018,1,debit_card,11,146.67
ORD0000019,1,boleto,12,1558.35
ORD0000020,1,debit_card,12,631.51
ORD0000021,1,credit_card,11,1205.23
ORD0000022,1,debit_card,11,1455.32
ORD0000023,1,voucher,10,1891.03
ORD0000024,1,voucher,4,525.2
ORD0000025,1,voucher,2,1020.78
ORD0000026,1,voucher,10,1226.27
ORD0000027,1,debit_card,12,1910.83
ORD0000028,1,credit_card,3,830.67
ORD0000029,1,voucher,1,1256.37
ORD0000030,1,debit_card,4,348.48
ORD0000031,1,boleto,4,639.63
ORD0000032,1,voucher,10,1677.11
ORD0000033,1,debit_card,12,597.66
ORD0000034,1,voucher,3,1962.29
ORD0000035,1,boleto,10,1687.25
ORD0000036,1,debit_card,12,304.15
ORD0000037,1,boleto,4,581.24
ORD0000038,1,boleto,8,1273.36
ORD0000039,1,voucher,12,1587.25
ORD0000040,1,voucher,4,566.47
ORD0000041,1,boleto,12,827.12
ORD0000042,1,credit_card,1,475.42
ORD0000043,1,boleto,11,512.81
ORD0000044,1,boleto,3,398.82
ORD0000045,1,boleto,12,1743.63
ORD0000046,1,voucher,3,1750.94
ORD0000047,1,credit_card,10,860.92
ORD0000048,1,voucher,7,1450.6
ORD0000049,1,debit_card,8,1229.11
ORD0000050,1,voucher,7,1140.25
ORD0000051,1,voucher,5,339.61
ORD0000052,1,debit_card,11,152.04
ORD0000053,1,debit_card,6,1782.05
ORD0000054,1,boleto,7,1602.48
ORD0000055,1,credit_card,6,832.07
ORD0000056,1,boleto,12,1944.91
ORD0000057,1,debit_card,1,822.77
ORD0000058,1,credit_card,3,1648.74
ORD0000059,1,voucher,1,1937.23
ORD0000060,1,voucher,2,1646.08
ORD0000061,1,boleto,1,1386.69
ORD0000062,1,voucher,9,895.85
ORD0000063,1,debit_card,1,309.52
ORD0000064,1,boleto,9,1594.95
ORD0000065,1,voucher,2,1178.7
ORD0000066,1,boleto,9,446.94
ORD0000067,1,boleto,8,1726.44
ORD0000068,1,debit_card,10,139.95
ORD0000069,1,boleto,5,1036.49
ORD0000070,1,boleto,11,407.92
ORD0000071,1,credit_card,9,1885.04
ORD0000072,1,credit_card,6,1751.96
ORD0000073,1,debit_card,5,1820.48
ORD0000074,1,credit_card,1,554.37
ORD0000075,1,voucher,1,326.96
ORD0000076,1,credit_card,4,624.31
ORD0000077,1,credit_card,12,1849.0
ORD0000078,1,boleto,11,1460.12
ORD0000079,1,debit_card,10,1491.9
ORD0000080,1,debit_card,9,1962.85
ORD0000081,1,debit_card,12,1428.34
ORD0000082,1,credit_card,2,1651.51
ORD0000083,1,credit_card,3,1979.97
ORD0000084,1,voucher,7,1099.23
ORD0000085,1,debit_card,5,588.5
ORD0000086,1,credit_card,1,1620.11
ORD0000087,1,boleto,12,453.97
ORD0000088,1,credit_card,1,660.99
ORD0000089,1,boleto,9,610.47
ORD0000090,1,voucher,7,1120.37
ORD0000091,1,credit_card,5,427.54
ORD0000092,1,voucher,10,170.39
ORD0000093,1,voucher,12,801.98
ORD0000094,1,boleto,8,312.59
ORD0000095,1,credit_card,6,1732.55
